DATE,PRCP,SNOW,SNWD
1/1/2005,0.19,0,28
1/2/2005,0.15,0,28
1/3/2005,0.34,0,28
1/4/2005,0,0,28
1/5/2005,0.05,0.5,28
1/6/2005,0.23,1,30
1/7/2005,0.31,2.5,36
1/8/2005,0.17,3,36
1/9/2005,0.08,0,36
1/10/2005,0.12,0.5,35
1/11/2005,0.08,1,36
1/12/2005,0.08,0.5,36
1/13/2005,0.11,0,35
1/14/2005,2.21,6,38
1/15/2005,0.1,3,40
1/16/2005,0.07,2,40
1/17/2005,0.1,1,41
1/18/2005,0.22,1,41
1/19/2005,0,0,40
1/20/2005,0.18,3.5,44
1/21/2005,0,0,43
1/22/2005,0.01,0,43
1/23/2005,0.15,1,43
1/24/2005,0,0,43
1/25/2005,0.35,5,48
1/26/2005,0.12,2.5,49
1/27/2005,0,0,48
1/28/2005,0,0,47
1/29/2005,0,0,47
1/30/2005,0,0,45
1/31/2005,0,0,44
2/1/2005,0,0,44
2/2/2005,0,0,43
2/3/2005,0,0,43
2/4/2005,0,0,42
2/5/2005,0,0,42
2/6/2005,0,0,41
2/7/2005,0,0,40
2/8/2005,0.15,0.2,40
2/9/2005,0.34,1,41
2/10/2005,0.72,8,48
2/11/2005,0.46,5.5,52
2/12/2005,0.28,4.5,55
2/13/2005,0.5,6.5,58
2/14/2005,0,0,56
2/15/2005,0.4,2,57
2/16/2005,0.46,4,59
2/17/2005,0.43,2,60
2/18/2005,0.27,6.5,65
2/19/2005,0.02,0,64
2/20/2005,0.05,1,64
2/21/2005,0.24,2,66
2/22/2005,0.12,1,64
2/23/2005,0.26,6,69
2/24/2005,0,0,68
2/25/2005,0.04,0.5,66
2/26/2005,0,0,65
2/27/2005,0,0,63
2/28/2005,0,0,61
3/1/2005,0.39,3.5,65
3/2/2005,0.54,8,78
3/3/2005,0.14,1,74
3/4/2005,0,0,72
3/5/2005,0,0,70
3/6/2005,0.19,2,70
3/7/2005,0.26,2.5,72
3/8/2005,0.72,3,71
3/9/2005,0.85,4,75
3/10/2005,0.05,0.5,75
3/11/2005,0.01,0,75
3/12/2005,0.39,5,78
3/13/2005,0.12,1,79
3/14/2005,0,0,77
3/15/2005,0.19,1.5,80
3/16/2005,0.21,1.5,80
3/17/2005,0.01,0,79
3/18/2005,0,0,78
3/19/2005,0,0,78
3/20/2005,0,0,78
3/21/2005,0,0,77
3/22/2005,0,0,77
3/23/2005,0,0,76
3/24/2005,0,0,75
3/25/2005,0.08,1.5,76
3/26/2005,0,0,76
3/27/2005,0,0,76
3/28/2005,0.44,0,75
3/29/2005,0.04,0,70
3/30/2005,0,0,69
3/31/2005,0,0,68
