DATE,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS
1/1/2005,0.19,0,28,36,14,14
1/2/2005,0.15,0,28,24,4,20
1/3/2005,0.34,0,28,32,20,23
1/4/2005,0,0,28,26,17,17
1/5/2005,0.05,0.5,28,18,0,0
1/6/2005,0.23,1,30,15,-1,12
1/7/2005,0.31,2.5,36,25,4,9
1/8/2005,0.17,3,36,21,8,20
1/9/2005,0.08,0,36,20,10,15
1/10/2005,0.12,0.5,35,22,13,17
1/11/2005,0.08,1,36,17,-4,10
1/12/2005,0.08,0.5,36,17,6,17
1/13/2005,0.11,0,35,45,17,43
1/14/2005,2.21,6,38,49,13,13
1/15/2005,0.1,3,40,13,-1,6
1/16/2005,0.07,2,40,11,2,7
1/17/2005,0.1,1,41,7,-7,-7
1/18/2005,0.22,1,41,-7,-29,-15
1/19/2005,0,0,40,2,-20,-1
1/20/2005,0.18,3.5,44,3,-9,-9
1/21/2005,0,0,43,29,-28,-18
1/22/2005,0.01,0,43,-2,-21,-8
1/23/2005,0.15,1,43,0,-12,-12
1/24/2005,0,0,43,1,-17,-7
1/25/2005,0.35,5,48,-3,-17,-6
1/26/2005,0.12,2.5,49,6,-7,2
1/27/2005,0,0,48,2,-11,-10
1/28/2005,0,0,47,0,-16,0
1/29/2005,0,0,47,17,-2,16
1/30/2005,0,0,45,20,9,17
1/31/2005,0,0,44,25,10,
2/1/2005,0,0,44,23,10,19
2/2/2005,0,0,43,26,10,24
2/3/2005,0,0,43,34,17,28
2/4/2005,0,0,42,37,24,32
2/5/2005,0,0,42,39,28,37
2/6/2005,0,0,41,48,31,41
2/7/2005,0,0,40,43,35,41
2/8/2005,0.15,0.2,40,40,30,31
2/9/2005,0.34,1,41,31,25,26
2/10/2005,0.72,8,48,26,4,21
2/11/2005,0.46,5.5,52,21,0,11
2/12/2005,0.28,4.5,55,15,6,14
2/13/2005,0.5,6.5,58,15,1,8
2/14/2005,0,0,56,14,4,14
2/15/2005,0.4,2,57,30,14,29
2/16/2005,0.46,4,59,31,21,21
2/17/2005,0.43,2,60,21,-4,15
2/18/2005,0.27,6.5,65,15,0,0
2/19/2005,0.02,0,64,5,-14,4
2/20/2005,0.05,1,64,5,-11,0
2/21/2005,0.24,2,66,7,-3,7
2/22/2005,0.12,1,64,22,7,17
2/23/2005,0.26,6,69,17,0,5
2/24/2005,0,0,68,13,-5,8
2/25/2005,0.04,0.5,66,14,0,9
2/26/2005,0,0,65,17,-3,8
2/27/2005,0,0,63,9,-4,5
2/28/2005,0,0,61,17,1,12
3/1/2005,0.39,3.5,65,17,10,11
3/2/2005,0.54,8,78,11,3,3
3/3/2005,0.14,1,74,4,-10,2
3/4/2005,0,0,72,10,-3,8
3/5/2005,0,0,70,17,4,15
3/6/2005,0.19,2,70,18,13,18
3/7/2005,0.26,2.5,72,25,5,25
3/8/2005,0.72,3,71,33,-6,-6
3/9/2005,0.85,4,75,-3,-15,-3
3/10/2005,0.05,0.5,75,5,-10,4
3/11/2005,0.01,0,75,13,1,12
3/12/2005,0.39,5,78,22,11,16
3/13/2005,0.12,1,79,19,12,14
3/14/2005,0,0,77,16,9,16
3/15/2005,0.19,1.5,80,18,9,17
3/16/2005,0.21,1.5,80,20,11,19
3/17/2005,0.01,0,79,22,7,22
3/18/2005,0,0,78,22,10,15
3/19/2005,0,0,78,19,11,18
3/20/2005,0,0,78,26,14,25
3/21/2005,0,0,77,27,19,26
3/22/2005,0,0,77,30,17,30
3/23/2005,0,0,76,30,7,20
3/24/2005,0,0,75,33,19,22
3/25/2005,0.08,1.5,76,33,16,17
3/26/2005,0,0,76,28,11,27
3/27/2005,0,0,76,37,21,35
3/28/2005,0.44,0,75,35,25,31
3/29/2005,0.04,0,70,40,29,30
3/30/2005,0,0,69,44,29,35
3/31/2005,0,0,68,41,29,38
